    42,   19921127033400.,   16.14,  130.44,   28.97,  0.03692,  0.00012,    0.00,    0.28,    0.00,    3.08,    0.94,    0.91
    43,   19921127042500.,   36.00,  159.61,   28.96,  0.06906,  0.00019,   40.87,    0.27,    0.00,    3.08,    0.71,    1.12
    44,   19921127051700.,   33.04,  154.15,   28.92,  0.04687,  0.00018,    7.57,    0.31,    0.00,    3.08,    0.84,    1.09
    45,   19921127060800.,   57.13,  233.05,   28.97,  0.15338,  0.00029,    7.16,    0.27,    0.00,    3.08,    0.48,    1.29
    46,   19921127070000.,   31.72,  142.24,   28.89,  0.03905,  0.00017,    0.00,    0.33,    0.00,    3.08,    0.91,    1.07
    47,   19921127075100.,   18.80,  132.48,   28.85,  0.02611,  0.00013,    0.00,    0.37,    0.00,    3.08,    1.08,    0.94
    48,   19921127084200.,   12.26,  124.33,   28.77,  0.01922,  0.00010,    0.00,    0.39,    0.00,    3.08,    1.21,    0.86
    49,   19921127093400.,    8.02,  113.73,   28.75,  0.01523,  0.00009,    0.00,    0.40,    0.00,    3.08,    1.32,    0.78
    50,   19921127102500.,    7.08,  125.50,   28.76,  0.02049,  0.00009,    0.00,    0.38,    0.00,    3.08,    1.19,    0.78
    51,   19921127113200.,    8.76,  137.13,   28.81,  0.03321,  0.00010,    0.00,    0.33,    0.00,    3.08,    0.98,    0.82
    52,   19921127122600.,    9.08,  145.98,   28.82,  0.04636,  0.00011,    0.00,    0.30,    0.00,    3.08,    0.85,    0.84
    53,   19921127134800.,   28.49,  192.30,   31.15,  0.03468,  0.00019,    0.00,    0.47,    2.52,    3.09,    0.95,    1.08
    54,   19921127143900.,   28.88,  198.11,   31.17,  0.03888,  0.00019,    0.00,    0.46,    2.53,    3.14,    0.90,    1.09
    55,   19921127160400.,   29.51,  218.95,   31.25,  0.04202,  0.00021,    0.00,    0.47,    2.59,    3.23,    0.87,    1.10
    56,   19921127170000.,   26.33,  193.71,   31.31,  0.02824,  0.00018,    0.00,    0.49,    2.67,    3.35,    1.02,    1.06
    57,   19921127175200.,   24.36,  178.22,   31.36,  0.02149,  0.00017,    0.00,    0.52,    2.75,    3.50,    1.13,    1.03
    58,   19921127184300.,   21.51,  157.73,   31.41,  0.01489,  0.00015,    0.00,    0.55,    2.84,    3.68,    1.27,    0.99
    59,   19921127193500.,   21.24,  157.04,   31.71,  0.01330,  0.00015,    0.00,    0.55,    3.14,    3.80,    1.31,    0.99
    60,   19921127202600.,    2.92,   62.32,   28.80,  0.00653,  0.00004,    0.00,    0.32,    0.00,    3.80,    1.74,    0.61
    61,   19921127211700.,    3.19,   59.15,   28.81,  0.00557,  0.00004,    0.00,    0.31,    0.00,    3.80,    1.81,    0.61
    62,   19921127220900.,    3.37,   55.18,   28.85,  0.00426,  0.00004,    0.00,    0.28,    0.00,    3.80,    1.94,    0.60
    63,   19921127230000.,    4.37,   51.69,   28.91,  0.00353,  0.00004,    0.00,    0.23,    0.00,    3.80,    2.08,    0.62
    64,   19921127235200.,    3.95,   46.71,   28.95,  0.00245,  0.00004,    0.00,    0.21,    0.00,    3.80,    2.23,    0.60
    65,   19921128004300.,    3.94,   46.62,   28.94,  0.00245,  0.00004,    0.00,    0.20,    0.00,    3.80,    2.26,    0.60
    66,   19921128022100.,    3.60,   53.02,   28.95,  0.00386,  0.00004,    0.00,    0.22,    0.00,    3.80,    2.07,    0.61
    67,   19921128042600.,    1.28,   45.33,   29.02,  0.00259,  0.00003,    0.00,    0.25,    0.00,    3.80,    2.16,    0.52
    68,   19921128043600.,    0.92,   50.75,   29.18,  0.00292,  0.00003,    0.00,    0.29,    0.00,    3.80,    2.04,    0.52
    69,   19921128052800.,   -0.21,   34.79,   28.94,  0.00131,  0.00002,    0.00,    0.29,    0.00,    3.80,    2.21,    0.41
    70,   19921128061900.,    0.15,   32.55,   29.13,  0.00090,  0.00002,    0.00,    0.31,    0.00,    3.80,    2.19,    0.42
    71,   19921128075200.,    0.24,   41.89,   28.94,  0.00249,  0.00002,    0.00,    0.33,    0.00,    3.80,    2.03,    0.46
    72,   19921128084300.,    0.31,   38.40,   28.98,  0.00189,  0.00002,    0.00,    0.32,    0.00,    3.80,    2.09,    0.45
    73,   19921128093500.,    1.82,   68.15,   28.96,  0.00918,  0.00004,    0.00,    0.34,    0.00,    3.80,    1.58,    0.59
    74,   19921128102600.,    1.24,   60.00,   29.01,  0.00495,  0.00004,    0.00,    0.34,    0.00,    3.80,    1.82,    0.55
    75,   19921128111800.,    0.39,   41.35,   28.91,  0.00192,  0.00002,    0.00,    0.33,    0.00,    3.80,    2.08,    0.47
